DATE,TICKER,open,close,high,low,Volume,VWAP,CPct_LChg
1980-03-17,AMD,3.19,3.15,3.3,3.13,109800.0,3.193333333,
1980-03-18,AMD,3.15,3.03,3.15,2.94,363600.0,3.04,-3.883983331626401
1980-03-19,AMD,3.03,3.04,3.08,3.02,147600.0,3.046666667,0.3294895896852706
1980-03-20,AMD,3.04,3.01,3.06,3.01,79800.0,3.026666667,-0.9917436657346028
1980-03-21,AMD,3.01,2.92,3.02,2.91,65400.0,2.95,-3.0356462480593955
1980-03-24,AMD,2.92,2.67,2.92,2.64,218400.0,2.743333333,-8.950514386803222
1980-03-25,AMD,2.67,2.6,2.75,2.55,322800.0,2.633333333,-2.656702738472175
1980-03-26,AMD,2.6,2.45,2.6,2.43,233400.0,2.493333333,-5.942342047080077
1980-03-27,AMD,2.45,2.38,2.45,2.24,564600.0,2.356666667,-2.8987536873252413
1980-03-28,AMD,2.38,2.54,2.58,2.38,333000.0,2.5,6.506359334706187
1980-03-31,AMD,2.54,2.54,2.58,2.52,215400.0,2.546666667,0.0
1980-04-01,AMD,2.54,2.74,2.77,2.54,246000.0,2.683333333,7.579383936953373
1980-04-02,AMD,2.74,2.63,2.74,2.61,141600.0,2.66,-4.097407421030579
1980-04-03,AMD,2.63,2.64,2.64,2.6,113400.0,2.626666667,0.37950709685517553
1980-04-07,AMD,2.64,2.54,2.64,2.53,177600.0,2.57,-3.861483612777966
1980-04-08,AMD,2.54,2.59,2.63,2.5,382800.0,2.573333333,1.9493794681001133
1980-04-09,AMD,2.59,2.67,2.67,2.58,67200.0,2.64,3.042059670071172
1980-04-10,AMD,2.67,2.74,2.74,2.66,87000.0,2.713333333,2.587944798782076
1980-04-11,AMD,2.74,2.64,2.77,2.64,54600.0,2.683333333,-3.7179003241754134
1980-04-14,AMD,2.64,2.56,2.65,2.5,133800.0,2.57,-3.077165866675366
1980-04-15,AMD,2.56,2.56,2.56,2.52,252600.0,2.546666667,0.0
1980-04-16,AMD,2.56,2.35,2.57,2.34,179400.0,2.42,-8.559193033540351
1980-04-17,AMD,2.35,2.43,2.43,2.27,348000.0,2.376666667,3.3475929196389544
1980-04-18,AMD,2.43,2.32,2.47,2.31,171000.0,2.366666667,-4.632407167423863
1980-04-21,AMD,2.32,2.29,2.36,2.28,249000.0,2.31,-1.301536811207025
1980-04-22,AMD,2.29,2.56,2.6,2.29,440400.0,2.483333333,11.145544092532278
1980-04-23,AMD,2.56,2.61,2.73,2.56,294000.0,2.633333333,1.9342962843130935
1980-04-24,AMD,2.61,2.78,2.81,2.61,366600.0,2.733333333,6.310070636794355
1980-04-25,AMD,2.78,2.71,2.78,2.69,171600.0,2.726666667,-2.550229281093612
1980-04-28,AMD,2.71,2.73,2.79,2.71,186000.0,2.743333333,0.7352974305258733
1980-04-29,AMD,2.73,2.67,2.73,2.64,135000.0,2.68,-2.2223136784710236
1980-04-30,AMD,2.67,2.55,2.67,2.54,136800.0,2.586666667,-4.598511324182338
1980-05-01,AMD,2.55,2.46,2.55,2.46,252600.0,2.49,-3.593200922606333
1980-05-02,AMD,2.46,2.47,2.47,2.42,141000.0,2.453333333,0.4056800695614469
1980-05-05,AMD,2.47,2.6,2.6,2.47,151200.0,2.556666667,5.1293294387550485
1980-05-06,AMD,2.6,2.69,2.73,2.58,193200.0,2.666666667,3.4029748586311257
1980-05-07,AMD,2.69,2.69,2.71,2.66,69000.0,2.686666667,0.0
1980-05-08,AMD,2.69,2.6,2.69,2.6,112800.0,2.63,-3.4029748586311372
1980-05-09,AMD,2.6,2.54,2.6,2.53,64200.0,2.556666667,-2.3347363996991177
1980-05-12,AMD,2.54,2.61,2.61,2.52,90000.0,2.58,2.718614030415678
1980-05-13,AMD,2.61,2.69,2.71,2.61,106800.0,2.67,3.019097227914573
1980-05-14,AMD,2.69,2.77,2.78,2.69,172800.0,2.746666667,2.930612658549949
1980-05-15,AMD,2.77,2.73,2.77,2.73,146400.0,2.743333333,-1.4545711002378752
1980-05-16,AMD,2.73,2.67,2.74,2.65,67800.0,2.686666667,-2.2223136784710236
1980-05-19,AMD,2.67,2.69,2.71,2.67,33000.0,2.69,0.7462721201589594
1980-05-20,AMD,2.69,2.75,2.75,2.68,226800.0,2.726666667,2.205971806473226
1980-05-21,AMD,2.75,2.78,2.8,2.74,256200.0,2.773333333,1.0850016024065623
1980-05-22,AMD,2.78,2.92,2.92,2.78,249600.0,2.873333333,4.913268857764481
1980-05-23,AMD,2.92,2.99,2.99,2.9,205800.0,2.96,2.368977112240488
1980-05-27,AMD,2.99,3.01,3.06,2.99,123600.0,3.02,0.6666691358189077
1980-05-28,AMD,3.01,3.15,3.15,3.0,229200.0,3.1,4.546237407675742
1980-05-29,AMD,3.15,3.08,3.21,3.07,309000.0,3.12,-2.2472855852058515
1980-05-30,AMD,3.08,3.17,3.17,3.03,149400.0,3.123333333,2.8801990903706183
1980-06-02,AMD,3.17,3.1,3.17,3.1,104400.0,3.123333333,-2.2329476398088657
1980-06-03,AMD,3.1,3.02,3.1,3.01,141600.0,3.043333333,-2.614528010432236
1980-06-04,AMD,3.02,3.07,3.07,3.0,109200.0,3.046666667,1.642073021232749
1980-06-05,AMD,3.07,3.02,3.13,3.02,73800.0,3.056666667,-1.642073021232741
1980-06-06,AMD,3.02,3.0,3.06,2.97,214200.0,3.01,-0.6644542718668613
1980-06-09,AMD,3.0,2.86,3.06,2.86,213000.0,2.926666667,-4.779066383634855
1980-06-10,AMD,2.86,2.97,2.97,2.86,232200.0,2.933333333,3.7740327982847113
1980-06-11,AMD,2.97,3.05,3.05,2.96,91200.0,3.02,2.6579637804711886
1980-06-12,AMD,3.05,3.09,3.1,3.02,202200.0,3.07,1.3029500290333897
1980-06-13,AMD,3.09,3.09,3.1,3.07,33600.0,3.086666667,0.0
1980-06-16,AMD,3.09,3.03,3.09,3.03,121200.0,3.05,-1.9608471388376312
1980-06-17,AMD,3.03,3.06,3.07,3.03,107400.0,3.053333333,0.985229644301164
1980-06-18,AMD,3.06,3.02,3.06,3.0,303000.0,3.026666667,-1.31580845775112
1980-06-19,AMD,3.02,2.97,3.05,2.97,110400.0,2.996666667,-1.669487857216999
1980-06-20,AMD,2.97,2.93,2.97,2.93,49800.0,2.943333333,-1.3559529785632363
1980-06-23,AMD,2.93,2.94,2.96,2.92,99000.0,2.94,0.34071583216141343
1980-06-24,AMD,2.94,2.94,2.94,2.91,51000.0,2.93,0.0
1980-06-25,AMD,2.94,3.07,3.1,2.94,179400.0,3.036666667,4.3267980248515485
1980-06-26,AMD,3.07,3.02,3.13,3.02,123000.0,3.056666667,-1.642073021232741
1980-06-27,AMD,3.02,3.04,3.07,3.01,39000.0,3.04,0.6600684031352093
1980-06-30,AMD,3.04,3.04,3.07,3.01,102600.0,3.04,0.0
1980-07-01,AMD,3.04,3.07,3.08,3.01,97800.0,3.053333333,0.9820046180975295
1980-07-02,AMD,3.07,3.18,3.18,3.07,90600.0,3.143333333,3.5203635192979696
1980-07-03,AMD,3.18,3.34,3.36,3.17,195000.0,3.29,4.908961019652358
1980-07-07,AMD,3.34,3.46,3.51,3.34,177600.0,3.436666667,3.5297782081023894
1980-07-08,AMD,3.46,3.39,3.46,3.33,413400.0,3.393333333,-2.043866767727396
1980-07-09,AMD,3.39,3.44,3.5,3.39,197400.0,3.443333333,1.4641549992947969
1980-07-10,AMD,3.44,3.5,3.56,3.43,159000.0,3.496666667,1.7291497110061043
1980-07-11,AMD,3.5,3.61,3.64,3.5,216600.0,3.583333333,3.094480384942149
1980-07-14,AMD,3.61,3.73,3.77,3.61,232200.0,3.703333333,3.2700461310934745
1980-07-15,AMD,3.73,3.71,3.82,3.71,291600.0,3.746666667,-0.5376357036380406
1980-07-16,AMD,3.71,3.61,3.76,3.6,167400.0,3.656666667,-2.7324104274554246
1980-07-17,AMD,3.61,3.65,3.66,3.61,127800.0,3.64,1.1019395249610697
1980-07-18,AMD,3.65,3.61,3.73,3.61,211200.0,3.65,-1.1019395249610537
1980-07-21,AMD,3.61,3.57,3.66,3.49,189000.0,3.573333333,-1.114217655324185
1980-07-22,AMD,3.57,3.57,3.6,3.54,373200.0,3.57,0.0
1980-07-23,AMD,3.57,3.56,3.58,3.55,199200.0,3.563333333,-0.28050509276086094
1980-07-24,AMD,3.56,3.58,3.63,3.55,61800.0,3.586666667,0.5602255548669751
1980-07-25,AMD,3.58,3.51,3.58,3.5,130200.0,3.53,-1.9746762934834559
1980-07-28,AMD,3.51,3.52,3.52,3.46,126600.0,3.5,0.2844952132231345
1980-07-29,AMD,3.52,3.74,3.74,3.5,530400.0,3.66,6.062462181643484
1980-07-30,AMD,3.74,4.03,4.1,3.74,355800.0,3.956666667,7.4680764532151125
1980-07-31,AMD,4.03,4.14,4.16,4.02,264000.0,4.106666667,2.692941187863133
1980-08-01,AMD,4.14,4.26,4.29,4.14,335400.0,4.23,2.8573372444056164
1980-08-04,AMD,4.26,4.31,4.33,4.22,145200.0,4.286666667,1.1668743834377424
1980-08-05,AMD,4.31,4.36,4.42,4.31,254400.0,4.363333333,1.1534153245286765
1980-08-06,AMD,4.36,4.24,4.36,4.22,175800.0,4.273333333,-2.7908788117076617
1980-08-07,AMD,4.24,4.22,4.27,4.21,109200.0,4.233333333,-0.4728141195946012
1980-08-08,AMD,4.22,4.27,4.33,4.22,235800.0,4.273333333,1.1778699192612705
1980-08-11,AMD,4.27,4.42,4.42,4.27,271200.0,4.37,3.4525868849073613
1980-08-12,AMD,4.42,4.35,4.5,4.33,222600.0,4.393333333,-1.5963850989014088
1980-08-13,AMD,4.35,4.27,4.36,4.27,117000.0,4.3,-1.8562017860059536
