DATE,TICKER,rate,CPct_Chg
1954-01-04,DTB3,1.33,5.2777777777777784e-05
1954-01-05,DTB3,1.28,5.0793650793650794e-05
1954-01-06,DTB3,1.28,5.0793650793650794e-05
1954-01-07,DTB3,1.31,5.1984126984126985e-05
1954-01-08,DTB3,1.31,5.1984126984126985e-05
1954-01-11,DTB3,1.33,5.2777777777777784e-05
1954-01-12,DTB3,1.3,5.158730158730159e-05
1954-01-13,DTB3,1.3,5.158730158730159e-05
1954-01-14,DTB3,1.28,5.0793650793650794e-05
1954-01-15,DTB3,1.2,4.761904761904762e-05
1954-01-18,DTB3,1.2,4.761904761904762e-05
1954-01-19,DTB3,,
1954-01-20,DTB3,1.16,4.603174603174603e-05
1954-01-21,DTB3,1.08,4.2857142857142856e-05
1954-01-22,DTB3,1.0,3.968253968253968e-05
1954-01-25,DTB3,1.0,3.968253968253968e-05
1954-01-26,DTB3,1.0,3.968253968253968e-05
1954-01-27,DTB3,1.08,4.2857142857142856e-05
1954-01-28,DTB3,0.96,3.809523809523809e-05
1954-01-29,DTB3,1.02,4.047619047619048e-05
1954-02-01,DTB3,1.04,4.1269841269841266e-05
1954-02-02,DTB3,1.0,3.968253968253968e-05
1954-02-03,DTB3,1.02,4.047619047619048e-05
1954-02-04,DTB3,1.01,4.0079365079365075e-05
1954-02-05,DTB3,0.9,3.571428571428572e-05
1954-02-08,DTB3,0.89,3.531746031746032e-05
1954-02-09,DTB3,0.88,3.4920634920634925e-05
1954-02-10,DTB3,0.93,3.690476190476191e-05
1954-02-11,DTB3,0.94,3.7301587301587294e-05
1954-02-12,DTB3,,
1954-02-15,DTB3,0.98,3.888888888888889e-05
1954-02-16,DTB3,0.98,3.888888888888889e-05
1954-02-17,DTB3,1.02,4.047619047619048e-05
1954-02-18,DTB3,0.97,3.849206349206349e-05
1954-02-19,DTB3,0.96,3.809523809523809e-05
1954-02-22,DTB3,,
1954-02-23,DTB3,0.95,3.76984126984127e-05
1954-02-24,DTB3,0.97,3.849206349206349e-05
1954-02-25,DTB3,1.0,3.968253968253968e-05
1954-02-26,DTB3,1.0,3.968253968253968e-05
1954-03-01,DTB3,1.03,4.0873015873015874e-05
1954-03-02,DTB3,1.03,4.0873015873015874e-05
1954-03-03,DTB3,1.05,4.166666666666667e-05
1954-03-04,DTB3,1.03,4.0873015873015874e-05
1954-03-05,DTB3,1.02,4.047619047619048e-05
1954-03-08,DTB3,1.03,4.0873015873015874e-05
1954-03-09,DTB3,1.03,4.0873015873015874e-05
1954-03-10,DTB3,1.06,4.2063492063492065e-05
1954-03-11,DTB3,1.05,4.166666666666667e-05
1954-03-12,DTB3,1.04,4.1269841269841266e-05
1954-03-15,DTB3,1.04,4.1269841269841266e-05
1954-03-16,DTB3,1.02,4.047619047619048e-05
1954-03-17,DTB3,1.01,4.0079365079365075e-05
1954-03-18,DTB3,1.01,4.0079365079365075e-05
1954-03-19,DTB3,1.0,3.968253968253968e-05
1954-03-22,DTB3,1.0,3.968253968253968e-05
1954-03-23,DTB3,1.0,3.968253968253968e-05
1954-03-24,DTB3,1.05,4.166666666666667e-05
1954-03-25,DTB3,1.07,4.2460317460317464e-05
1954-03-26,DTB3,1.05,4.166666666666667e-05
1954-03-29,DTB3,1.05,4.166666666666667e-05
1954-03-30,DTB3,1.04,4.1269841269841266e-05
1954-03-31,DTB3,1.03,4.0873015873015874e-05
1954-04-01,DTB3,1.02,4.047619047619048e-05
1954-04-02,DTB3,1.0,3.968253968253968e-05
1954-04-05,DTB3,0.98,3.888888888888889e-05
1954-04-06,DTB3,0.97,3.849206349206349e-05
1954-04-07,DTB3,1.0,3.968253968253968e-05
1954-04-08,DTB3,1.0,3.968253968253968e-05
1954-04-09,DTB3,1.03,4.0873015873015874e-05
1954-04-12,DTB3,1.04,4.1269841269841266e-05
1954-04-13,DTB3,1.06,4.2063492063492065e-05
1954-04-14,DTB3,1.04,4.1269841269841266e-05
1954-04-15,DTB3,1.03,4.0873015873015874e-05
1954-04-16,DTB3,1.03,4.0873015873015874e-05
1954-04-19,DTB3,1.02,4.047619047619048e-05
1954-04-20,DTB3,1.0,3.968253968253968e-05
1954-04-21,DTB3,1.0,3.968253968253968e-05
1954-04-22,DTB3,0.98,3.888888888888889e-05
1954-04-23,DTB3,0.94,3.7301587301587294e-05
1954-04-26,DTB3,0.85,3.3730158730158734e-05
1954-04-27,DTB3,0.83,3.2936507936507936e-05
1954-04-28,DTB3,0.82,3.2539682539682536e-05
1954-04-29,DTB3,0.81,3.214285714285715e-05
1954-04-30,DTB3,0.81,3.214285714285715e-05
1954-05-03,DTB3,0.77,3.0555555555555554e-05
1954-05-04,DTB3,0.72,2.857142857142857e-05
1954-05-05,DTB3,0.72,2.857142857142857e-05
1954-05-06,DTB3,0.75,2.9761904761904762e-05
1954-05-07,DTB3,0.79,3.134920634920635e-05
1954-05-10,DTB3,0.8,3.1746031746031745e-05
1954-05-11,DTB3,0.78,3.095238095238095e-05
1954-05-12,DTB3,0.82,3.2539682539682536e-05
1954-05-13,DTB3,0.82,3.2539682539682536e-05
1954-05-14,DTB3,0.8,3.1746031746031745e-05
1954-05-17,DTB3,0.8,3.1746031746031745e-05
1954-05-18,DTB3,0.81,3.214285714285715e-05
1954-05-19,DTB3,0.79,3.134920634920635e-05
1954-05-20,DTB3,0.78,3.095238095238095e-05
1954-05-21,DTB3,0.76,3.0158730158730158e-05
1954-05-24,DTB3,0.73,2.896825396825397e-05
1954-05-25,DTB3,0.7,2.7777777777777776e-05
1954-05-26,DTB3,0.7,2.7777777777777776e-05
1954-05-27,DTB3,0.7,2.7777777777777776e-05
1954-05-28,DTB3,0.72,2.857142857142857e-05
1954-05-31,DTB3,,
1954-06-01,DTB3,0.71,2.817460317460317e-05
1954-06-02,DTB3,0.71,2.817460317460317e-05
1954-06-03,DTB3,0.68,2.6984126984126987e-05
1954-06-04,DTB3,0.66,2.619047619047619e-05
1954-06-07,DTB3,0.61,2.4206349206349206e-05
1954-06-08,DTB3,0.61,2.4206349206349206e-05
1954-06-09,DTB3,0.62,2.4603174603174602e-05
1954-06-10,DTB3,0.61,2.4206349206349206e-05
1954-06-11,DTB3,0.62,2.4603174603174602e-05
1954-06-14,DTB3,0.64,2.5396825396825397e-05
1954-06-15,DTB3,0.63,2.5e-05
1954-06-16,DTB3,0.63,2.5e-05
1954-06-17,DTB3,0.61,2.4206349206349206e-05
1954-06-18,DTB3,0.63,2.5e-05
1954-06-21,DTB3,0.63,2.5e-05
1954-06-22,DTB3,0.61,2.4206349206349206e-05
1954-06-23,DTB3,0.62,2.4603174603174602e-05
1954-06-24,DTB3,0.62,2.4603174603174602e-05
1954-06-25,DTB3,0.64,2.5396825396825397e-05
1954-06-28,DTB3,0.64,2.5396825396825397e-05
1954-06-29,DTB3,0.64,2.5396825396825397e-05
1954-06-30,DTB3,0.64,2.5396825396825397e-05
1954-07-01,DTB3,0.65,2.5793650793650796e-05
1954-07-02,DTB3,0.66,2.619047619047619e-05
1954-07-05,DTB3,,
1954-07-06,DTB3,0.66,2.619047619047619e-05
1954-07-07,DTB3,0.65,2.5793650793650796e-05
1954-07-08,DTB3,0.65,2.5793650793650796e-05
1954-07-09,DTB3,0.67,2.6587301587301588e-05
1954-07-12,DTB3,0.69,2.738095238095238e-05
1954-07-13,DTB3,0.7,2.7777777777777776e-05
1954-07-14,DTB3,0.73,2.896825396825397e-05
1954-07-15,DTB3,0.75,2.9761904761904762e-05
1954-07-16,DTB3,0.73,2.896825396825397e-05
1954-07-19,DTB3,0.73,2.896825396825397e-05
1954-07-20,DTB3,0.72,2.857142857142857e-05
1954-07-21,DTB3,0.74,2.9365079365079366e-05
1954-07-22,DTB3,0.75,2.9761904761904762e-05
1954-07-23,DTB3,0.77,3.0555555555555554e-05
1954-07-26,DTB3,0.78,3.095238095238095e-05
1954-07-27,DTB3,0.77,3.0555555555555554e-05
1954-07-28,DTB3,0.79,3.134920634920635e-05
1954-07-29,DTB3,0.79,3.134920634920635e-05
1954-07-30,DTB3,0.79,3.134920634920635e-05
1954-08-02,DTB3,0.78,3.095238095238095e-05
1954-08-03,DTB3,0.77,3.0555555555555554e-05
1954-08-04,DTB3,0.79,3.134920634920635e-05
1954-08-05,DTB3,0.8,3.1746031746031745e-05
1954-08-06,DTB3,0.83,3.2936507936507936e-05
1954-08-09,DTB3,0.9,3.571428571428572e-05
1954-08-10,DTB3,0.88,3.4920634920634925e-05
1954-08-11,DTB3,0.93,3.690476190476191e-05
1954-08-12,DTB3,0.93,3.690476190476191e-05
1954-08-13,DTB3,0.93,3.690476190476191e-05
1954-08-16,DTB3,0.91,3.6111111111111116e-05
1954-08-17,DTB3,0.91,3.6111111111111116e-05
1954-08-18,DTB3,0.92,3.650793650793651e-05
1954-08-19,DTB3,0.93,3.690476190476191e-05
1954-08-20,DTB3,0.94,3.7301587301587294e-05
1954-08-23,DTB3,1.0,3.968253968253968e-05
1954-08-24,DTB3,1.0,3.968253968253968e-05
1954-08-25,DTB3,0.98,3.888888888888889e-05
1954-08-26,DTB3,0.99,3.928571428571428e-05
1954-08-27,DTB3,1.0,3.968253968253968e-05
1954-08-30,DTB3,1.04,4.1269841269841266e-05
1954-08-31,DTB3,1.05,4.166666666666667e-05
1954-09-01,DTB3,1.03,4.0873015873015874e-05
1954-09-02,DTB3,1.02,4.047619047619048e-05
1954-09-03,DTB3,1.02,4.047619047619048e-05
1954-09-06,DTB3,,
1954-09-07,DTB3,1.03,4.0873015873015874e-05
1954-09-08,DTB3,1.02,4.047619047619048e-05
1954-09-09,DTB3,1.02,4.047619047619048e-05
1954-09-10,DTB3,1.02,4.047619047619048e-05
1954-09-13,DTB3,1.03,4.0873015873015874e-05
1954-09-14,DTB3,1.04,4.1269841269841266e-05
1954-09-15,DTB3,1.02,4.047619047619048e-05
1954-09-16,DTB3,1.0,3.968253968253968e-05
1954-09-17,DTB3,1.0,3.968253968253968e-05
1954-09-20,DTB3,0.98,3.888888888888889e-05
1954-09-21,DTB3,0.98,3.888888888888889e-05
1954-09-22,DTB3,0.99,3.928571428571428e-05
1954-09-23,DTB3,0.99,3.928571428571428e-05
1954-09-24,DTB3,0.99,3.928571428571428e-05
1954-09-27,DTB3,1.0,3.968253968253968e-05
1954-09-28,DTB3,0.99,3.928571428571428e-05
1954-09-29,DTB3,1.0,3.968253968253968e-05
1954-09-30,DTB3,0.99,3.928571428571428e-05
1954-10-01,DTB3,0.97,3.849206349206349e-05
1954-10-04,DTB3,0.96,3.809523809523809e-05
1954-10-05,DTB3,0.94,3.7301587301587294e-05
1954-10-06,DTB3,0.94,3.7301587301587294e-05
1954-10-07,DTB3,0.94,3.7301587301587294e-05
1954-10-08,DTB3,0.94,3.7301587301587294e-05
1954-10-11,DTB3,0.96,3.809523809523809e-05
1954-10-12,DTB3,,
1954-10-13,DTB3,0.98,3.888888888888889e-05
1954-10-14,DTB3,0.99,3.928571428571428e-05
1954-10-15,DTB3,1.0,3.968253968253968e-05
1954-10-18,DTB3,1.0,3.968253968253968e-05
1954-10-19,DTB3,0.99,3.928571428571428e-05
1954-10-20,DTB3,1.01,4.0079365079365075e-05
1954-10-21,DTB3,1.0,3.968253968253968e-05
1954-10-22,DTB3,1.0,3.968253968253968e-05
1954-10-25,DTB3,1.0,3.968253968253968e-05
1954-10-26,DTB3,1.0,3.968253968253968e-05
1954-10-27,DTB3,1.01,4.0079365079365075e-05
1954-10-28,DTB3,1.01,4.0079365079365075e-05
1954-10-29,DTB3,1.0,3.968253968253968e-05
1954-11-01,DTB3,1.0,3.968253968253968e-05
1954-11-02,DTB3,,
1954-11-03,DTB3,1.01,4.0079365079365075e-05
1954-11-04,DTB3,1.01,4.0079365079365075e-05
1954-11-05,DTB3,0.97,3.849206349206349e-05
1954-11-08,DTB3,0.94,3.7301587301587294e-05
1954-11-09,DTB3,0.87,3.452380952380952e-05
1954-11-10,DTB3,0.88,3.4920634920634925e-05
1954-11-11,DTB3,,
1954-11-12,DTB3,0.9,3.571428571428572e-05
1954-11-15,DTB3,0.9,3.571428571428572e-05
1954-11-16,DTB3,0.89,3.531746031746032e-05
1954-11-17,DTB3,0.9,3.571428571428572e-05
1954-11-18,DTB3,0.88,3.4920634920634925e-05
1954-11-19,DTB3,0.87,3.452380952380952e-05
1954-11-22,DTB3,0.87,3.452380952380952e-05
1954-11-23,DTB3,0.89,3.531746031746032e-05
1954-11-24,DTB3,0.93,3.690476190476191e-05
1954-11-25,DTB3,,
1954-11-26,DTB3,0.97,3.849206349206349e-05
1954-11-29,DTB3,1.0,3.968253968253968e-05
1954-11-30,DTB3,1.01,4.0079365079365075e-05
1954-12-01,DTB3,1.03,4.0873015873015874e-05
1954-12-02,DTB3,1.03,4.0873015873015874e-05
1954-12-03,DTB3,1.03,4.0873015873015874e-05
1954-12-06,DTB3,1.05,4.166666666666667e-05
1954-12-07,DTB3,1.06,4.2063492063492065e-05
1954-12-08,DTB3,1.1,4.3650793650793655e-05
1954-12-09,DTB3,1.11,4.404761904761905e-05
1954-12-10,DTB3,1.14,4.523809523809523e-05
1954-12-13,DTB3,1.26,5e-05
1954-12-14,DTB3,1.28,5.0793650793650794e-05
1954-12-15,DTB3,1.23,4.880952380952381e-05
1954-12-16,DTB3,1.24,4.9206349206349204e-05
1954-12-17,DTB3,1.25,4.96031746031746e-05
1954-12-20,DTB3,1.29,5.1190476190476193e-05
1954-12-21,DTB3,1.26,5e-05
1954-12-22,DTB3,1.22,4.841269841269841e-05
1954-12-23,DTB3,1.2,4.761904761904762e-05
1954-12-24,DTB3,1.2,4.761904761904762e-05
1954-12-27,DTB3,1.15,4.563492063492063e-05
1954-12-28,DTB3,1.12,4.444444444444445e-05
1954-12-29,DTB3,1.08,4.2857142857142856e-05
1954-12-30,DTB3,1.03,4.0873015873015874e-05
1954-12-31,DTB3,1.02,4.047619047619048e-05
1955-01-03,DTB3,1.07,4.2460317460317464e-05
1955-01-04,DTB3,1.07,4.2460317460317464e-05
1955-01-05,DTB3,1.08,4.2857142857142856e-05
1955-01-06,DTB3,1.1,4.3650793650793655e-05
1955-01-07,DTB3,1.11,4.404761904761905e-05
1955-01-10,DTB3,1.2,4.761904761904762e-05
1955-01-11,DTB3,1.23,4.880952380952381e-05
1955-01-12,DTB3,1.28,5.0793650793650794e-05
1955-01-13,DTB3,1.35,5.3571428571428575e-05
1955-01-14,DTB3,1.36,5.3968253968253975e-05
1955-01-17,DTB3,1.36,5.3968253968253975e-05
1955-01-18,DTB3,1.33,5.2777777777777784e-05
1955-01-19,DTB3,,
1955-01-20,DTB3,1.28,5.0793650793650794e-05
1955-01-21,DTB3,1.29,5.1190476190476193e-05
1955-01-24,DTB3,1.31,5.1984126984126985e-05
1955-01-25,DTB3,1.3,5.158730158730159e-05
1955-01-26,DTB3,1.26,5e-05
1955-01-27,DTB3,1.2,4.761904761904762e-05
1955-01-28,DTB3,1.14,4.523809523809523e-05
1955-01-31,DTB3,1.12,4.444444444444445e-05
1955-02-01,DTB3,1.1,4.3650793650793655e-05
1955-02-02,DTB3,1.12,4.444444444444445e-05
1955-02-03,DTB3,1.13,4.484126984126984e-05
