DATE,TICKER,open,close,high,low,Volume,VWAP,CPct_LChg
2000-05-05,SMH,46.0,46.28,47.0,45.75,524800.0,46.34333333,
2000-05-08,SMH,46.06,44.25,46.06,44.16,206600.0,44.82333333,-4.485453087153737
2000-05-09,SMH,44.5,42.38,44.84,41.78,577400.0,43.0,-4.3178818613785435
2000-05-10,SMH,41.56,38.47,41.56,38.38,807200.0,39.47,-9.679783607594935
2000-05-11,SMH,39.19,41.09,41.16,38.25,449800.0,40.16666667,6.588606613111471
2000-05-12,SMH,42.0,41.59,43.22,41.28,495000.0,42.03,1.2094970859501988
2000-05-15,SMH,41.38,42.38,42.38,39.91,534800.0,41.55666667,1.8816799085332605
2000-05-16,SMH,43.88,44.19,44.69,42.53,441000.0,43.80333333,4.182196630249539
2000-05-17,SMH,43.63,43.81,44.94,43.22,472000.0,43.99,-0.8636417316841439
2000-05-18,SMH,44.13,43.06,44.28,42.97,243600.0,43.43666667,-1.726760988959014
2000-05-19,SMH,42.31,40.81,42.69,40.34,210200.0,41.28,-5.36673425185027
2000-05-22,SMH,40.81,40.5,40.84,38.06,498000.0,39.8,-0.762517530522088
2000-05-23,SMH,40.25,37.5,41.13,37.44,169200.0,38.69,-7.696104113612832
2000-05-24,SMH,37.63,39.88,39.97,35.72,616600.0,38.52333333,6.153401211727256
2000-05-25,SMH,40.81,39.78,41.97,39.19,388600.0,40.31333333,-0.25106716678114777
2000-05-26,SMH,39.69,39.5,40.38,38.81,176400.0,39.56333333,-0.706360151874993
2000-05-30,SMH,40.88,43.5,43.53,40.88,183400.0,42.63666667,9.646026618756231
2000-05-31,SMH,44.19,43.53,44.88,43.38,275200.0,43.93,0.06894174695677843
2000-06-01,SMH,45.0,46.25,46.41,44.5,438400.0,45.72,6.061110839422795
2000-06-02,SMH,50.19,49.66,50.19,48.63,939000.0,49.49333333,7.113831612158632
2000-06-05,SMH,48.75,49.34,50.25,48.16,296800.0,49.25,-0.646466897880978
2000-06-06,SMH,49.25,47.31,50.13,47.31,445600.0,48.25,-4.201342145815397
2000-06-07,SMH,47.88,48.09,48.5,46.59,431000.0,47.72666667,1.6352565646514508
2000-06-08,SMH,49.41,48.31,49.44,47.91,390400.0,48.55333333,0.45643232767438974
2000-06-09,SMH,49.13,49.31,49.5,48.53,195000.0,49.11333333,2.0488321669719483
2000-06-12,SMH,49.63,47.41,49.63,47.31,112400.0,48.11666667,-3.929372332200794
2000-06-13,SMH,47.5,49.41,49.41,46.66,389000.0,48.49333333,4.13196559436316
2000-06-14,SMH,49.41,47.28,49.44,47.28,195000.0,48.0,-4.406545975981577
2000-06-15,SMH,47.38,47.69,48.34,46.63,217800.0,47.55333333,0.863435921229014
2000-06-16,SMH,47.75,48.0,48.47,47.28,173800.0,47.91666667,0.647927859775791
2000-06-19,SMH,48.19,51.25,51.25,47.81,436400.0,50.10333333,6.551460711062656
2000-06-20,SMH,51.75,52.0,52.88,51.5,497000.0,52.12666667,1.4528100562909807
2000-06-21,SMH,51.31,52.22,52.59,51.25,371600.0,52.02,0.4221844689555462
2000-06-22,SMH,51.75,49.63,51.75,49.5,782800.0,50.29333333,-5.087007367163327
2000-06-23,SMH,49.69,48.75,50.09,48.63,685800.0,49.15666667,-1.7890292155493321
2000-06-26,SMH,49.19,48.75,49.69,48.19,308000.0,48.87666667,0.0
2000-06-27,SMH,49.13,47.19,49.22,47.19,472200.0,47.86666667,-3.252319170556006
2000-06-28,SMH,47.31,47.44,48.56,47.31,457000.0,47.77,0.5283748951173758
2000-06-29,SMH,46.88,46.34,47.19,45.63,563600.0,46.38666667,-2.3460235685239734
